,course_code,department,total_labs,lab_1,lab_2,lab_3,lab_4,lab_5,course_name
69,BT23331,Biotechnology,2,Technical Analysis Lab,Biochemistry Lab,,,,Analytical Techniques in Biotechnology
70,BT23723,Biotechnology,1,Computer Application in Chemical Engg Lab,,,,,Artificial Intelligence and Machine Learning for Biotechnologist
71,BT23321,Biotechnology,1,Immunology Lab,,,,,Basic Food and Enzyme Technology Laboratory
72,BT23221,Biotechnology,1,Immunology Lab,,,,,Biochemistry Laboratory
73,BT23621,Biotechnology,1,Bioprocess Lab,,,,,Bioprocess Laboratory II
74,BT23521,Biotechnology,1,Downstream Processing Lab,,,,,Bioprocess Laboratory- I
75,BT23421,Biotechnology,1,Fluid Mechanics Lab,,,,,Chemical Engineering Laboratory for Biotechnologists
76,CY23132,Biotechnology,1,Chemistry Lab,,,,,Chemistry for Technologists
77,BT23721,Biotechnology,1,Downstream Processing Lab,,,,,
78,BT19711,Biotechnology,1,Downstream Processing Lab,,,,,Downstream processing lab
79,BT23722,Biotechnology,1,Immunology Lab,,,,,
80,BT23523,Biotechnology,1,Immunology Lab,,,,,Immunology lab
81,BT23131,Biotechnology,1,Immunology Lab,,,,,Microbiology
82,CR23P62,Biotechnology,1,Food Microbiology Lab,,,,,
83,BT23422,Biotechnology,2,Immunology Lab,Genetic Engineering Lab,,,,Molecular Biology and Genetic Engineering Laboratory
84,BY23122,Biotechnology,1,Immunology Lab,,,,,Recombinant DNA Technology Laboratory
85,CH23723,Chemical Engineering,1,Computer Application in Chemical Engg Lab,,,,,Artificial Intelligence and Machine Learning for Chemical Engineers
86,CH19711,Chemical Engineering,2,Technical Analysis Lab,Chemical Reaction Engineering Lab,,,,Chemical Reaction Engineering  lab
87,CH23721,Chemical Engineering,1,Chemical Reaction Engineering Lab,,,,,Chemical Reaction Engineering lab
88,CY23312,Chemical Engineering,1,Chemistry Lab,,,,,Chemistry for Technologists
89,CH23331,Chemical Engineering,1,Fluid Mechanics Lab,,,,,Fluid Mechanics for Chemical Engineers
90,CH23521,Chemical Engineering,1,Heat Transfer Lab,,,,,Heat Transfer Lab
91,CH23621,Chemical Engineering,2,Thermal Lab 1,Thermal Lab 2,,,,Mass Transfer Lab
92,PH23233,Chemical Engineering,2,Physics LAB - 1,Physics LAB - 2,,,,Material Science
93,CH23431,Chemical Engineering,1,Particle Science and Technology Lab,,,,,Particle science and Technology
94,CY23334,Chemical Engineering,1,Chemistry Lab,,,,,Physical and Organic Chemistry
95,CH23722,Chemical Engineering,1,Process Control Lab,,,,,Process Control Lab
96,CS23411,Chemical Engineering,1,Computer Application in Chemical Engg Lab,,,,,Python Programming for Machine Learning
97,CH23421,Chemical Engineering,1,Technical Analysis Lab,,,,,Technical Analysis Lab
98,CE23721,Civil Engineering,1,MCT CAD Lab,,,,,Building Information Modelling
99,CE19711,Civil Engineering,1,Computer Lab (Arch),,,,,COMPUTER AIDED DESIGN AND DRAFTING LABORATORY
100,CE19712,Civil Engineering,1,Computer Lab (Arch),,,,,CREATIVE AND INNOVATIVE PROJECT
101,CE23321,Civil Engineering,1,Concrete & Survey Lab,,,,,Construction Materials Laboratory
102,CE19714,Civil Engineering,1,Computer Lab (Arch),,,,,PROBLEM SOLVING USING MACHINE LEARNING IN CIVIL ENGINEERING
103,CE23431,Civil Engineering,1,Soil Mechanics & Highway Lab,,,,,Soil Mechanics
104,CE23421,Civil Engineering,1,Strength of Materials Lab,,,,,Strength of Materials and Hydraulic Engineering Laboratory
105,CE23531,Civil Engineering,1,Computer Lab (Arch),,,,,Structural Analysis
106,CE23331,Civil Engineering,2,Soil Mechanics & Highway Lab,Concrete & Survey Lab,,,,Surveying
107,CE23521,Civil Engineering,1,Chemistry Lab,,,,,Water and Waste Water Analysis Laboratory
108,PH23133,Computer Science and Business Systems,2,Physics LAB - 1,Physics LAB - 2,,,,Physics for Computing Science
109,EE23131,Computer Science and Business Systems,2,Electrical Machines II Lab,Electrical Machines I Lab,,,,Principles of Electrical Engineering
110,EC23242,Computer Science and Business Systems,1,Engineering Practices Lab (Electronics),,,,,Principles of Electronics
111,EC23232,Computer Science and Engineering,2,Microprocessor Lab-1,Microprocessor Lab-2,,,,Digital Logic and Microprocessor
112,GE23627,Electrical & Electronics Engineering,1,Electronic Devices & Circuits Lab,,,,,Problem Solving Techniques
113,ET23121,Electrical & Electronics Engineering,1,Embedded System Laboratory(EEE),,,,,Embedded System Laboratory I
114,EE23821,Electrical & Electronics Engineering,1,Power System Simulation Lab,,,,,Project Work (Phase - II)
115,ET23322,Electrical & Electronics Engineering,1,Embedded System Laboratory(EEE),,,,,IOT for Embedded Applications Laboratory
116,EE19742,Electrical & Electronics Engineering,1,Power System Simulation Lab,,,,,Power System Operation and Control
117,EE19711,Electrical & Electronics Engineering,1,Power System Simulation Lab,,,,,Project Work / Phase -I
118,EE19741,Electrical & Electronics Engineering,1,Power System Simulation Lab,,,,,Renewable Energy Systems
119,EE23631,Electrical and Electronics Engineering,1,Power System Simulation Lab,,,,,Applications of IoT in Electrical Engineering
120,EE23521,Electrical and Electronics Engineering,1,Power System Simulation Lab,,,,,Control and Instrumentation Laboratory
121,EE23431,Electrical and Electronics Engineering,1,Power Electronics Lab,,,,,Digital Logic Circuits
122,EE23221,Electrical and Electronics Engineering,2,Power Electronics Lab,Electronic Devices & Circuits Lab,,,,Electric Circuits Laboratory
123,EE23321,Electrical and Electronics Engineering,1,Electronic Devices & Circuits Lab,,,,,Electronic Devices and Circuits Laboratory
124,EE23432,Electrical and Electronics Engineering,1,Electronic Devices & Circuits Lab,,,,,Linear Integrated Circuits and Applications
125,EE23531,Electrical and Electronics Engineering,2,Electronic Devices & Circuits Lab,Microprocessor and Microcontrollers Lab,,,,"Microprocessors, Microcontrollers and Applications"
126,PH23232,Electrical and Electronics Engineering,2,Physics LAB - 1,Physics LAB - 2,,,,Physics for Electronics Engineering
127,EE23621,Electrical and Electronics Engineering,1,Power Electronics Lab,,,,,Power Electronics and Drives Laboratory
128,EE23731,Electrical and Electronics Engineering,1,Power System Simulation Lab,,,,,Renewable Energy Systems
129,EC19712,Electronics & Communication Engineering,1,Optical and Microwave Lab,,,,,Advanced Communication Systems Laboratory
130,EC23521,Electronics & Communication Engineering,1,Communication Systems Lab,,,,,Communication Systems Laboratory
131,EC23131,Electronics & Communication Engineering,1,Engineering Practices Lab (Electronics),,,,,Electron Devices
